slope,aspect,twi,rainfall,ndvi,landcover,river_proximity,landslide
31.998774,190.11111,14.950398,18771.488,0.7309034,10.0,1936.698,1
51.42537,262.58194,14.444468,20435.473,0.5915324,10.0,1988.5862,1
42.60727,252.59087,14.717822,20435.473,0.7736828,10.0,1948.7743,1
31.089102,256.018,14.959852,20435.473,0.4451323,30.0,1234.3992,1
34.210606,246.12318,14.859812,20435.473,0.33415088,30.0,1228.4474,1
48.30647,241.58572,14.737554,20435.473,0.74786294,10.0,1567.3733,1
42.703423,181.13527,14.710321,20435.473,0.6003908,10.0,959.6675,1
35.6279,37.76158,14.943061,20435.473,0.86021054,10.0,702.5027,1
42.787277,355.46735,14.581416,20435.473,0.8285297,10.0,507.91833,1
58.25942,348.91245,14.2546015,20435.473,0.79050344,10.0,202.82788,1
41.54988,170.50621,14.890196,18381.56,0.50347334,30.0,627.0545,1
34.69481,149.9007,14.439112,18381.56,0.5082574,10.0,668.84686,1
43.04464,200.61995,14.549553,18678.152,0.6115165,10.0,943.6791,1
33.731483,186.28462,14.677692,18678.152,0.43071547,30.0,984.19104,1
47.217735,78.769905,14.5716305,18381.56,0.4710904,30.0,290.3564,1
40.787045,275.3829,14.663542,20614.018,0.7007383,10.0,527.1674,1
14.1325035,205.83067,15.469326,20435.473,0.5687619,10.0,146.51395,1
19.19274,251.00247,15.166855,20435.473,0.76525056,10.0,76.33898,1
39.545464,141.64903,14.693268,22209.299,0.30058965,10.0,346.36203,1
41.31821,249.52048,13.966908,24495.367,0.62464476,30.0,28.639889,1
33.403748,228.48953,15.064637,20435.473,0.41291076,30.0,1919.1372,1
36.490147,220.0081,15.025571,20435.473,0.43035105,30.0,1899.3695,1
35.42381,11.871889,15.051089,20435.473,0.83424515,10.0,2111.0408,1
29.262917,78.33258,15.231726,18427.49,0.7578844,10.0,717.0523,1
53.678497,1.5411178,14.579778,22209.299,0.8541596,30.0,1766.7043,1
38.43477,20.227312,15.174866,22209.299,0.8099826,10.0,1853.5566,1
49.644196,212.95724,14.642304,19691.213,0.8644249,30.0,614.87006,1
42.24493,183.46416,14.971999,19691.213,0.8404339,10.0,519.47485,1
18.72965,283.81082,15.760685,19691.213,0.8807919,10.0,858.5262,1
33.47071,242.2768,14.711528,20435.473,0.35642484,30.0,222.93738,1
45.59697,225.76746,14.494715,20435.473,0.56157607,10.0,688.59076,1
47.42614,310.87106,14.454722,20435.473,0.75355977,10.0,920.41614,1
48.556446,279.8762,14.632047,20435.473,0.5510192,30.0,1891.974,1
56.73927,324.84006,14.121154,20435.473,0.73740995,10.0,932.82104,1
48.620514,267.54794,14.670226,20435.473,0.6977054,10.0,1993.3699,1
20.97615,294.97552,15.065358,20435.473,0.69543046,10.0,758.9232,1
32.223183,244.11249,14.769596,22209.299,0.85092264,10.0,1417.4553,1
68.265625,241.05394,13.617149,22209.299,0.6508725,10.0,865.0811,1
47.083126,242.18643,14.456573,22209.299,0.34389082,30.0,986.48224,1
13.1620455,128.53615,16.079548,19691.213,0.84913546,10.0,656.7191,1
45.230804,314.95462,15.043501,19691.213,0.6383201,30.0,1472.6194,1
47.159405,7.799232,14.696527,20005.668,0.83290523,30.0,1558.1755,1
50.875698,265.46884,14.449193,19691.213,0.9873781,10.0,96.14552,1
59.32288,316.87103,14.437338,20005.668,0.8015674,10.0,437.87213,1
35.13623,333.77628,14.514503,20005.668,0.8819906,10.0,867.1544,1
36.695545,34.370815,14.880181,20005.668,0.80194986,10.0,681.3691,1
63.68041,36.026443,13.635856,19691.213,0.9708424,10.0,312.22076,1
22.689356,285.72546,15.716949,19691.213,0.52346027,30.0,222.56848,1
